Cluster Index,Words
Cluster 10,"patrol, cruise, hovercraft, sonar, planer, ballast, airplane, helicopter, glider, jet, biplane, cockpit, turboprop, hangar, airspeed, fuselage, autopilot, monoplane, rocket, gantry, crane, hull, turbofan, thruster, avionics, spacecraft, radar, ship, submarine, sailboat, cargo, dockyard, buoy, tanker, steamer, carrier, offshore, fissile, drone, plane, freight, shuttle, lander, rover, airlock, craft, salvage, parachute, navy, airforce, marines, artillery, missile, rifle, tank, torpedo, grenade, battleship, minesweeper, destroyer, launch, paraglider, rescue, payload, reentry, warhead, launcher, bombay, weapon, bomber, bombo, bomb, freightliner, fire, flying, steam, crew, mast, passenger, pilot, flew, crash, blast, tornado, boat, astronauts, flight, dock, armour, amphibious, pilotage, farine, bombs, gun, ships, cruiser, aeroplane, cranes, tanks, airframes, quadro, aval, midplane, fleet, beacon, armory, pod, shipper, bomba, tanked, aircraft, armor, warship, hurricane, pilots, sailor, aster, mariner, cyclone, sniper, rendezvous, anchorage, turret, gunner, sail, crashers, bombe, maneuver, vessels, piloto, navigator, sunk, sailing, runway, yacht, aerial, sentry, teleport, onboard, dive, explosion, steamers, airlift, wreck, corvette, shuttles, planes, tonne, sailors, airliner"
Cluster 11,"mm, x, cm, km"
Cluster 12,"satellite, oscilloscope, alarm, microphone, amplifier, screen, visualizer, receiver, odometer, electrocautery, laparoscope, beams, splitter, coaxial, altimeter, ejector, shear, thermometer, micrometer, seismograph, manometer, hygrometer, anemometer, pyrometer, transducer, chronometer, refractometer, tachometer, barometer, flowmeter, viscometer, dynamometer, galvanometer, antenna, spirometer, oximeter, turbine, actuator, manifold, filter, scaler, gyroscope, telemetry, orbiter, otoscope, glucometer, electroencephalogram, audiometer, solar, piezoelectric, relay, bandwidth, oscillator, diode, radiotracers, positron, fluorescein, seismic, microchips, circuitry, oscilloscopes, diodes, voltage, sensor, encoder, inverter, thermocouple, fluorescent, dimmer, luminaire, manifolds, aperture, lens, viewfinder, stabilizer, reflector, gravity, radicle, chromophore, clock, timer, analog, flux, electrode, arc, probe, telescope, grid, anomaly, perimeter, beam, atmospherics, hydromorphone, adjuster, xenon, capacitor, resistor, ferromagnetism, paramagnetism, electromagnet, anisotropy, neutron, cyclotron, scintillator, accelerator, ultrasonic, signal, spectrophotometer, scanner, tectonic, magnifier, thermistor, potentiometer, attenuator, recharge, vortex, calibrator, switchgear, rectifier, vibrator, photovoltaic, wattage, triode, photomultiplier, magnetron, telescopic, fluorometer, calorimeter, centrifugal, impedance, microwave, ergometer, quark, injector, photodiode, calculator, photodetector, wavelength, prism, waveguide, thermostat, laserdisc, detonator, doppler, pulse, ray, verte, galaxy, horizontal, angular, panel, picosecond, laser, infinite, dot, spin, fixed, tracker, torsion, wave, optimus, output, binocular, digit, adaptor, speed, robot, sampler, sine, amplifiers, detector, polaris, triple, topo, disc, length, mecha, impulse, buffer, thermionic, trigger, axis, mono, infrared, turbines, ignitor, helix, strobe, modul, scan, taximeter, meter, nanosecond, pixel, magnet, stor, rangefinder, duplicator, lengths, windex, tron, photoelectric, polar, apparatus, polygon, vertex, lunar, input, solarium, lattice, modulo, micron, synchronous, volt, circuit, Flashlight, nebula, rhombus, chroma, sigma, reverb, horizon, cryo, photon, ultraviolet, rays, velocity, quadrat, illuminator, autosampler, pulsed, ambient, ionizer, disks, diameter, droplet, random, microphones, regenerator, clocks, opti, dial, quanta, λ, detect, axial, calibre, threader, multimeter, noise, digits, magnets, ellipse, prefilter, antennas, helicoidal, phaser, amplitude, magnetized, diagonal, microplane, optocoupler, duplex, autofocus, microneedle, monochromator, magneto, robotic, illuminate, lumens, thermocouples, warp, tracer, lumen, above, microdot, gamma, beacons, flashlight, radial, telescoping, inclinometer, energie, MR, atomizer, lumina, aerodynamic, synchro, array, electrodes, microsecond, DC, grids, kernel, orbital, disk, chromoly, atom, volumen, buffers, pulsar, scans, albedo, vibrato, millimeter"
Cluster 13,"encyclopedia, audiobook, thesaurus, archive, library, editor, labels, embosser, braille, placard, billboard, trademark, photolithography, typography, layout, infographic, monogram, serif, calligraphy, notebook, envelope, poster, blueprint, scroll, booklet, tag, leaflet, pamphlet, diary, label, manuscript, newsprint, telephoto, coin, calendar, chronograph, signage, postage, column, paper, histogram, pen, textbooks, workbooks, pantograph, lithography, folio, inkjet, lexicon, syntax, subtitles, plagiarism, footnote, editorial, paraphrase, bookshelf, checkers, whiteboard, posters, flashcards, ledger, paperboard, checkerboard, puzzle, thread, photocopier, paperclip, notepad, labellum, ereader, stamps, autographs, memorabilia, artifacts, pager, voicemail, clipboard, newspaper, brochure, flyer, catalogue, typescript, calender, script, decompiler, bytecode, cassette, sign, copy, card, print, stamp, notes, copia, photobooth, image, detail, picture, Letter, cursive, maille, banner, fingerprint, printed, logo, name, phrase, initials, codex, letter, brochures, manuale, flyers, headdress, graphic, verso, stencil, banners, libra, keycards, flags, word, papers, papel, screenshot, photo, checker, magazines, puzzles, header, wordmark, words, digi, prints, mailed, checkin, alphabet, sketch, signet, maillot, atlas, images, atv, cartouche, duplicate, note, mailer, message, nameplate, blank, postcard, monogrammed, bible, vide, reply, copie, screenprint, briefs, fontaine, letters, postcards, sketchbook, embed, bedsheet, quote, autograph, barcode, stenciled, giftcard, names, uppercase, notepads, lettered, Brochures, chapter, postbox, graffiti, scribble, spelling, chart, copier, newsletters, handwork, letterhead, logos, photos, digitale, detailer, outline, hashtag, icons, token, copic, coded, icon, numerals, postie, catalogo, serigraph, readymade, lettering, notebooks, encrypted, hardback, catalogs, badges, poste, scribe, reads, books, archivo"
Cluster 14,"ebook, database, pdf, webinar, hyperlink, metadata, webpage, app, dashboard, profiles, profile, site, server, file, maps, tutorial, forum, logs, web, menu, browse, default, content, folder, newsletter, widget, subscription, page, posts, data, post, tab, list, portal, bookmark, search, link, online, edit, button, log, re, bookmarks, item, tips, tags, please, preview, ads, details, select, template, funnel, geo, toolkit, info, map, users, domain, bot, chat, code, text, links, uploads, pages, ad, codes, https, website, offline, tabs, blog, click, registro, stats, verifier, delete, guide, files, apps, via, password, download, email, downloadable, below, To, dialog, clicker"
Cluster 15,"Sinks, Electric, Bike, Value, Packs, Electronic, Alarm, Pill, Box, Paint, Drop, Earrings, Ground, Mat, Wood, Blinds, Bamboo, Speed, E, Plain, anual, Details, Palm, Tree, Robot, Automatic, Machine, Set, Spray, Bottles, Lever, Type, Chain, Load, Binder, Forged, Tiny, Parts, Work, Inside, Mini, Patio, Outdoor, Fashion, Key, Light, With, Bottle, Opener, Aluminum, Baby, Shark, Racks, Shower, Motorized, Own, Gift, Prep, und, Nano, Sink, Self, Aluminium, Bicycle, Manufacturer, Sun, Lounge, Pack, Thumb, Keys, Wooden, Plastic, Tee, Protects, Bound, Blood, Spiral, Cord, Bottom, Grid, Anchor, Test, Full, Safety, Knives, Bracelet, Semi, Dry, Mortar, Line, Waterproof, Kids, Hole, Colorful, Translucent, Mouth, Organ, Case, Metal, Rotary, Kiln, Time, Smart, Pouch, Refill, Concrete, Plank, Contact, Ultra, Recorder, Cleaning, Rod, Green, Pig, Product, Pulse, Copper, Tube, Concealed, Black, Lava, Lime, Legacy, Products, Block, Follow, Spot, Profile, Frame, Red, Furniture, Festive, Offer, Ball, Half, Gold, Shape, Power, Rope, High, Standard, Plate, Clamp, Hook, Sand, Tile, Plant, Stage, Cutters, Clear, Train, Cutter, Fully, Packaging, Sofa, Restraints, Escape, Battery, Pop, Play, Indoor, Chair, Net, Blade, Water, Leak, Tape, Manual, Single, Cylinder, Drum, Dryer, Us, Bolt, Fabric, Knife, Double, Quartz, Acrylic, Heart, Heat, Refills, Wheel, Beginner, Inch, Bag, Fast, Learn, Digital, Kit, Best, Screen, Cleaner, Accessories, Childrens, Factory, 025, Multi, Cards, Ribbon, Steel, Notes, Carpets, Dual, Shaft, Mixer, Care, Combine, Badge, Holder, Monkey, Lighted, Blue, Tiger, Eye, Formwork, Core, Carpet, Bear, D, Glass, Edge, Stainless, Dust, Collector, Mix, Twin, Apron, Effect, Shadow, Hardware, Triple, Layer, White, Raw, Bulk, Storage, Up, Pictures, Claw, Garden, Rear, Camera, Lounger, Luxury, Annual, Strainer, Home, Straight, Yellow, Universal, Optica, Cloth, Head, Premix, Piece, Crystal, Pink, Toys, Pump, Parallel, Dragon, Hot, Golden, Bed, Muscle, Salt, Oil, NZ, Bull, Bangle, Cross, Flow, Filter, aka, Arc, Day, Side, Harmony, Carbon, Smooth, Wash, Down, Lock, Screw, Pin, Strap, Strings, Open, Picks, Celluloid, Includes, Thin, Medium, Heavy, Extra, Gauges, Leather, Pick, Tin, Wide, Floor, Wall, Scraper, Stripper, Fat, Top, Pedal, Air, Front, Handle, Bar, Basket, Lens, Bus, Truck, Room, Transparent, Snow, Brush, Installed, Super, Custom, Cream, Alloy, Sign, Pillows, Walkie, Pallet, Family, Wrist, Tag, Clamps, Landscape, Chairs, Cookie, Round, Auto, Strong, Framed, Days, Plaster, Supplier, M, Poly, S, Shaped, Stone, NEW, Mats, Heel, Toe, Painted, Cables, Complete, Quick, Change, Acoustic, New, Square, Filler, Trip, Hands, Straw, Bone, Paper, Clip, Wrap, Slicer, Focus, Small, Color, Files, Coil, Polymer, Composite, Ring, Panel, Sport, Mobile, Strength, Pressure"
Cluster 16,"den, ac, lang, hai, es, med, tu, od, ir, wi, fi, ch, aa, mon, li, O, te, og, mit, eu, yin, ot, ver, af, dong, chu, tai, ha, dan, pi, po, op, pe, fa, ba, el, cu, dem, si, ik, ra, ap, ge, fr, dai, ein, wa, yo, din, chi, pa, ma, ka, pu, Ar, wh, ji, av, hi, ri, til, ti, mae, em, ni, ho, ci, cho, bi, aur, os, gi, mo, tam, cha, ze, qi, som, su, che, yang, yu, je, ul, er, nd, fe, ga, ke, ed, sh, ar, zu, ko, shi, bo, mai, ich, sen, ly, kai, fra, dee, gan, ao, ty, een, vi, lo, ku, fu, ben, bon, ek, mee, ye, ab, ol, ro, ah, ei, ur, nu, het, ki, ob, hu, shu, ru, za, на, och, ng, dat, nam, als, ini, ee, mor, dum, bu, fo, ing"
Cluster 17,"300, 100, 600, per, 650, 1000, 100g, 120, 200, 360, 700, 450, 400, 180, 150, 250, 140, 500, 125, 130, 240, 350, 750, 110, 160, 170, 220, 800, 550, 900, 000"
Cluster 18,"martingale, hackamore, affidavit, sculptor, director, caricaturist, florist, foundry, helm, derrick, colander, marionette, flounder, bezier, weedkiller, satchel, cnidarian, rookery, vice, logwood, serviette, endmill, montessori, waldorf, steiner, sommelier, krypton, warren, geiger, mulcher, acquittal, agitator, bookmaker, berber, howitzer, sawmill, valet, serger, zener, darlington, emery, eldercare, lectern, ironworker, bundler, dormer, scrimshaw, arson, dredger, diester, telehandler, lilly, pollard, bristol, jenny, ducati, owner, michael, harley, arkham, outlander, clair, Fond, orion, william, morris, henry, anniversary, feuilles, collins, iman, pochette, astronaut, estelle, aviator, Genes, Jane, taylor, edwardian, wissen, champignon, batman, mirabelle, lillian, milwaukee, eran, House, joseph, marley, vuitton, timothy, skipper, Phoenix, Blanc, blarney, martin, napoleon, stevens, humboldt, catcher, telegram, Booth, 751, botanist, jillian, fellow, barton, nissan, manhattan, bakewell, keith, agnes, collier, kota, denier, pilsner, jesse, Niche, kayaker, pierre, auctor, tipo, bosch, argan, klein, rubin, epson, griffin, champignons, adelaide, adventurer, marron, josephine, edward, newfoundland, paxton, stuart, kirsch, magician, grandson, Hyder, walter, meyer, oman, kabel, harrison, alexander, honorary, perles, paisley, sanderson, quaker, catherine, eames, antoinette, nee, aire, marvin, diana, roger, teakwood, emily, asher, vinger, morgan, mont, lille, eddie, keeper, cambridge, Ladies, der, Moss, bruce, gambler, perle, chesterfield, stanley, verre, Raymond, fraser, mason, croix, dean, winchester, jensen, eden, vieille, lois, eclair, feuille, founder, blackwood, sommer, culotte, wilhelm, salisbury, henley, jerry, bayberry, cierre, valerie, afghan, rwanda, sauer, rejuvenator, sundowner, Tiller, charlie, ambassador, teller, weiss, aiden, elmer, emerson, hannah, davies, sophie, elliot, farmer, gingham, brooke, beth, poisson, skeeter, doberman, pinscher, acier, maverick, seville, fishman, bonnie, hobart, eaton, yardmaster, megan, benson, nathan, f150, fullerton, harper, mickey, cham, margaret, reis, casquette, keller, berlin, tiffin, shopkins, brenda, niveaux, preston, oxford, versailles, quebec, fred, corten, Wheeler, samantha, rogers, reporter, Rattan, porter, sherman, rome, tyler, Wicker, sheridan, sherbert, inmate, zari, middleton, Stockholm, tamer, Dee, sidney, franc, gentleman, pitmaster, reiner, parma, dore, erin, stanford, grenouille, gordon, miller, delilah, casper, mille, bouteille, hamilton, skelter, rick, mann, donald, racine, neapolitan, tien, charles, lodestone, breton, frankenstein, rachel, saison, atelier, mesurer, alfred, steven, Stokke, Tripp, Trapp, stein, nelly, fisherman, cleveland, fairmont, bach, castor, calmer, pothead, sheriff, bauhaus, dublin, schneider, mate, poland, eastman, maxwell, elizabeth, darwin, birmingham, cruller, jeanne, Palais, daytona, Fresnel, mack, minnie, lincoln, augustus, mclaren, casey, dutton, Raphael, alberta, baro, lauren, myers, simpson, baltimore, shepard, isabelle, bradley, zester, achar, blair, hobbs, vader, colbert, einstein, hepburn, flotte, renard, Honor, durham, cameron, Buckle, dair, lexan, raymond, bartender, surrey, hart, winnie, courtney, scull, claire, blanchard, jason, pastorale, newton, reunion, roscoe, butler, ludwig, rancher, berger, beeman, jester, merfolk, wrangler, rocher, laine, logan, rutgers, spaniel, copeland, Portrait, Banner, yorker, rudolph, jamaican, engel, astor, powell, billie, ralph, madeleine, holland, ashley, charleston, Carton, dickinson, Fox, dall, porsche, motley, magwell, iceland, rideau, mister, helen, trompette, daniels, rogan, josh, bard, lancaster, davidson, tristan, nelson, Catcher, grandis, wart, Pannier, lel, benjamin, Kleen, rook, hansen, michel, bron, maison, edwards, mentor, lenny, kevin, friedrich, wrecker, butcher, ano, goldsmith, outdoorsman, Whistle, dryland, gaz, martha, sebastian, finden, 2210, julius, gibson, chelsea, ocher, 2211, hector, annunciator, romaine, woodworker, klass, erwin, appel, blacksmith, wurst, lindsay, wilton, jennie, winslow, amann, williams, str, Otto, harris, eller, Angelico, Stacker, gator, nick, barrett, cavalier, raphael, reynolds, 18500, stinger, lucas, eyecatcher, cornelius, balder, ringer, alias, elan, connor, macquarie, kenny, Massager, raton, dudley, abbott, Garnet, anaheim, helene, collie, jughead, brunswick, uganda, zander, burton, SouthAfrica, tham, harrington, turin, berg, Arkham, rattler, chaplin, groomsman, andy, kendall, saxon, Colander, Coulter, Kanteen, cayman, upton, postman, lynette, mitchell, clayton, fecha, Lorry, nobel, hometown, pooper, Dunlop, stephanie, samson, aston, tenner, anker, olympia"
Cluster 19,"lock, headlamp, mixer, tripod, brakes, exhaust, gearbox, radiator, clutch, axle, turbocharger, fender, rod, reel, trimmer, rack, retractor, flanges, brackets, shafts, rods, fasteners, rails, vacuum, fastener, rudder, propeller, pneumatic, hydraulic, lathe, grinder, caliper, switch, hydraulics, conveyor, pump, valve, cylinder, seal, hose, piston, solenoid, gauge, alloy, flange, frame, extruder, barrel, screw, calipers, carburetor, driveshaft, swivel, rotary, bracket, blower, nozzle, tubing, gauges, steel, servo, faucet, sink, pipe, washer, gasket, screws, pins, solder, shutter, slider, bulb, screwdriver, wrench, clamp, socket, drill, clamps, spindle, bevel, cartridge, bolt, truss, cleat, plate, loader, torque, chrome, tube, coupler, sockets, pedals, handlebars, gears, bolts, pulleys, valves, fuse, blade, shaft, rig, mounts, bulkhead, flywheel, heater, locket, bezel, vent, spool, weld, kit, crankshaft, wheel, heatsink, cutter, hinge, pulley, thrust, roller, loop, pedal, airflow, flue, sprocket, camshaft, pumps, backplate, pin, tire, rigid, wheels, burner, inch, jack, double, plug, mounted, slide, lift, insert, studs, jig, threaded, headlight, brake, mount, crank, fitted, lifts, sump, roll, fork, washers, flex, cone, taper, hex, wire, load, liner, width, cables, baseplate, rear, poles, turbo, duct, tubes, locks, welded, gear, coil, flanger, lug, rolle, hinges, tubular, windscreen, outboard, knob, forks, loops, strut, skid, grips, winch, pipes, lever, latches, toggle, tilt, latch, rims, faceplate, plugs, throttle, pole, damper, knobs, wires, rotate, switches, rotor, cylindric, subframe, nozzles, axles, levers, tap, miter, puller, spacer, inlet, handlebar, windshield, saws, rotors, clamping, hinged, blades, headlamps, coils, rollers"
Cluster 20,"warrant, bail, theft, insurance, net, offsets, patent, license, permit, grant, lease, quota, subsidy, warranty, filings, bonds, annuities, dividends, liquidity, arbitrage, property, equity, mortgage, cryptocurrency, fiduciary, annuity, solvency, foreclosure, brokerage, taxes, revenue, exemption, levy, refund, tariff, income, fiscal, invoice, filing, payment, cashless, visa, passport, currency, subsidies, contract, clause, indemnity, liability, savings, loan, creditcard, overdraft, escrow, policyholder, beneficiary, deductible, claim, reinsurance, monetarism, offset, probate, payout, premiums, deductibles, pensions, copayments, payroll, invoicing, credits, liabilities, assets, expenses, accrual, creditworthiness, bankruptcy, tickets, contracts, grants, tariffs, quotas, amount, holder, date, euro, rental, toll, cash, voucher, delay, credit, funda, stake, money, bonus, billion, bills, bill, compensator, dollar, monthly, corp, tax, fines, renew, viscount, gross, worth, discounts, holders, charge, ticket, total, lien, purchase, budget, bank, cancel, yen, discount, bitcoin, vouchers, deal, bond, fee, reward, deposit, receipt, pay, ownership, guaranteed, paid, monet, Deposit"
Cluster 21,"heritage, deed, fraternity, sovereignty, guild, monarchy, incense, challah, funeral, memorial, ritual, venetian, crown, castle, temple, fortress, cathedral, mosque, monastery, palace, church, synagogue, diocese, covenant, shrine, pilgrimage, clergy, laity, sacrament, sect, royal, supreme, prayer, knight, statue, emblem, prince, glory, liberty, king, queen, origin, ancient, athenian, angel, reclaim, origins, ruler, catholic, relics, jesus, christian, angels, soul, sin, imperial, treasure, earth, pray, monarch, kin, princess, celestial, wishes, princesa, feast, jerusalem, holy, warriors, buddha, peace, castile, grand, sultanate, libera, auspicious, byzantine, creed, pala, baptism, belongs, heaven, gods, brotherhood, dharma, buddhist, grace, ashes, slave, sacred, ancestor, sake, spirits, dwell, divina, ascend, merit, noble, sword, bearer, birthplace, lord, heavenly, crucifix, cardinal, heresy, saint, goddess, eternity, regal, kings, islam, medieval, unite, nun, chant, yel, royalty, cult, divine, kingdom, tian, belong, conquer, colonne, rebirth, patra, pastoral, prehistoric, islamic, cf, libero, mystic, forbidden, worship, fortune, god, warrior, kingsize, tribus, terre, trinity, eternal, bless, thee, myth, reincarnated, bishop, mythical, regent, honor, blessed, upon, tribes, mankind, armenian, patriotic, symbol, anciens, sacral, civile, monk, regalia, motherland, romans, blessing, churchill, divinity, heretic, civic, empire, sainte, thrones, ceremony, grave, forgiven, preach, emperor, crusader, knights, ark, consort, patron, liber, christ, centurion, redeemer, rosary, villager, mercy, legio, earthly, overlord, statues, patriot"
Cluster 22,"forge, die, watch, reach, skip, raise, fall, mend, step, find, make, take, spare, start, add, pass, stick, stand, see, pull, save, sit, adapt, cut, look, connect, burn, pick, drop, push, hide, check, dig, live, grow, get, let, run, fill, leave, forget, fly, rush, quit, go, got, relieve, wait, walk, move, tighten, stay, teach, stop, kill, blow, throw, carry, prepare, miss, choose, ask, help, learn, give, fix, build, keep, buy, write, send, hang, read, jump, hold, put, adopt, lose, say, try, tell, shut, speak, grab, turn, feed, catch, relocate, call, sell, lay, meet, share, hurt, pare, bring, talk, shake, thrive, bury, opt, swallow, break, draw, worry, rid, knock, engage, donate, come, rip, follow, steal, hear, hire, eat, goes, lie"
Cluster 23,"kayak, taxi, subway, carpool, bus, train, tram, monorail, cab, rickshaw, bicycle, limousine, scooter, minibus, headlights, tires, airbags, cart, ramp, locomotive, automobile, drive, lane, chassis, switchback, forklift, diesel, bodywork, sedan, hatchback, coupe, minivan, pickup, roadster, motorhome, caravan, flatbed, trailer, sidecar, luggage, seatbelt, airbag, haulage, roadwork, carriage, railcar, trolley, skis, tractor, tricycle, unicycle, wheelchair, motor, riders, snowboard, sled, snowmobile, wheelchairs, truck, motorcycle, rideshare, ferrari, tyre, trucks, 4x4, litre, wheelie, car, auto, motorbike, biker, bike, trucker, drivers, 250cc, motorized, ski, quad, trip, Scooter, moto, bumper, tri, seat, vehicles, racer, aero, rides, ford, driver, runtz, turbos, van, seater, hubs, wheeler, buses, 50cc, stops, ride, vehicle, toyota, runt, stroller, Tricycle, sunroof, rider, hitch, camper, petrol, Forklift, Trucks, vans, wagon, bikes, buggy, speedway, trolleys, tow, jeep, truckers, truc, ramps, seats, Bicycles, cars, turbodiesel, motorbikes, kart, autos, Bikes, loco, parker, taxis, trolleybus, motorcycles, mileage, volkswagen, chevrolet, wheeled, trips, offroad, Offroad, scooters, MINI, A6, cycliste, trai"
Cluster 24,"du, le, au"
Cluster 25,"fax, 576, 263, 730, 420, 925, 003, 732, 430, 885, 316, 532, 355, 480, 00, 319, 363, 680, 1001, 589, 011, 286, 581, 586, 739, 596, 944, 721, 731, 923, 002, 711, 601, 296, edc, 365, 802, 805, 603, 304, 459, 972, 741, 912, 376, 468, 848, 837, 613, 788, 713, 506, 391, 784, 001, 590, 619, 569, 583, 293, 291, 835, 702, 440, 460, 272, 934, 556, 926, 496, 502, 325, 331, 406, 789, CALL, 436, 413, 482, 720, 530, cas, 385, 737, 537, 2d, 310, 836, 868, 525, 020, 393, 871, 705, 770, 999, 560, 429, 568, 322, 303, 281, 623, 570, 379, 573, 555, 880, 401, 748, 735, 725, 620, 510, 484, 308, 252, 287, 526, 381, 328, 324, 949, 418, 723, 503, 938, 728, 726, 563, 760, 329, 489, 469, 294, 779, 594, 398, 598, 997, 660, 299, 212, 765, 382, 342, 793, 518, 715, 327, 743, 390, 706, 292, 565, 755, 288, 474, 790, 838, 334, 674, 335, 738, 886, 636, 373, 509, 591, 712, 458, 544, 910, 301, 571, 345, 309, 762, 794, 629, 622, 818, 856, 940, 614, 383, 971, 517, 823, 608, 577, ext, 318, 277, 775, 396, 271, 861, 625, 302, 542, 307, 718, 377, 501, bp, 777, 804, 799, 403, 497, 959, 332, 652, 402, 644, 744, 424, 495, 428, 305, 505, 405, 857, 787, 492, 966, 692, 572, 269, 929, 621, 727, 588, 443, 937, 795, 862, LA, 599, 508, 419, 478, 584, 729, 624, 872, 719, 361, 704, 933, 859, 618, 395, 640, 433, 284, 616, 597, 374, 960, 312, 434, 667, 283, 955, 782, 578, 707, 851, 736, 521, 740, 716, 873, 276, 602, 366, morts, 792, 697, 717, 903, 675, 774, 378, 372, supra, 604, 626, 992, 362, 610, 279, 957, 845, 860, 801, 930, 593, 490, 766, 580, 890, 282, 904, 798, 333, 582, 839, 628, 734, 543, 924, 1111, 627, 558, 703, 935, 970, 724, 647, 979, 575, 733, 995, 562, с, 427, 672, 494, 487, 0121, 397, 539, 289, 931, 813, 630, 670, 884, 592, 828, 936, 338, 566, 524, 902, 865, 399, 905, 567, 452, 579, 714, 722, 605, 796, 504, 574, 407, 457, 410, 253, 422, 742, 746, 248, 791, 806, 426, 928, 932, 899, 421, 745, 803, 690, 833, 456, 786, 464, 831, 351, 352, 752, 262, 529, 615, 551, 708, 404, 927, 394, 710, 920, 797, 969, 631, 909"
Cluster 26,"leather, satin, turquoise, matte, gloss, silver, neon, crisp, delicate, velvety, blush, orange, metallic, floral, wallpaper, paint, palette, texture, feather, amber, yellow, lighter, watercolor, embossed, textured, hues, tint, hue, shade, tone, shades, translucent, opaque, paints, watercolors, dark, golden, red, blue, gold, grey, white, soft, light, pink, brown, tan, style, colour, shimmer, pearl, black, green, textures, gray, purple, colorful, glowy, color, plain, striped, halo, multicolor, gemstones, colors, rainbow, layered, toned, colours, pearlescent, iridescent, shine, coloured, eyeshadow, pigmented, luminous, colourway, shiny, matt, colored, pale, glitters, pinks, pastel, styles, beige, bright, sparkling, stripe, bicolor, violet, sparkle, glow, accent, shapes, florals, tricolor, accents, sparkly, tones, sleek, glitter, glossy, shad, stripes, radiant, lightly, lustrous, watercolour, colourful, colore, tricolour, bold, unicolor, feathers, silky, stylish, multicolour, colouring, brighter, lush, colores, motif, sheen, monochrome, subtle, nug, shadows, elegant, buff, tinted, pinkish, patterned, brightness, colorblock, sparkles"
Cluster 27,"hardiness, identity, herbalism, awareness, justice, path, debate, humanitarian, geopolitics, colonialism, conflict, illusion, perpetual, activism, express, manifest, tolerances, validity, autocracy, socialism, capitalism, communism, totalitarianism, trust, intrusion, wellbeing, caustic, confidence, bias, skewness, coercivity, understory, dialogue, inequality, authoritarianism, secularism, pluralism, feminism, neoliberalism, populism, anarchism, imperialism, vanity, tactics, legacy, remembrance, compassion, viewership, complexion, posture, narrative, softness, nourishment, birthing, protectionism, doctrine, faith, devotion, attitude, problem, purpose, healing, is, discovery, heart, one, case, mindfulness, theo, ultimate, unity, purity, clear, infinity, passion, sense, view, only, invisible, worlds, right, courage, world, happiness, intelligent, weak, memory, harmony, intense, spirit, life, act, essence, idea, prov, about, universal, powerful, realistic, strong, human, nature, chang, revolutionary, pursuit, reality, pathos, believer, acts, self, reveal, true, behavior, undertones, morale, madness, believe, naturals, exists, regard, feelings, strait, extreme, imagination, expression, bullying, meaningful, feeling, lifestyle, person, evolve, incontinence, mystifying, arise, conscious, opulence, aim, paradigm, dangerous, rapture, absolute, deeper, meditate, naturally, society, beyond, avery, wetness, thinking, reflect, universally, habits, friendship, Seclusion, adherent, belief, prosperity, clarity, promise, fear, reason, being, kindness, authenticity, politely, impermanence, matter, imperfective, clarifying, leads, simplicity, manifesting, persistence, morales, chance, freedom, vitality, past, essences, minimalism, deeply, illusions, impression, badness, polite, danger, naturel, sphere, loveliness, sympathy, ideas, favor, universe, aggressive, persian, superstition, keenness, modesty, ordinary, persevere, trend, gender, appeal, instinct, fineness, tranquility, sometimes, distress, inconvenience, viewer, matters, promises, aesthetics, challenge, logic, loyalty, inheritance, silence, resolute, emotional, emotion, challenger, senses, mystical, mentality, psyche, seductive, humans, others, personas, contagious, false, seclusion, preforms, however, conceal, purely, desire, overcome, darkness, voices, abuse, regards, moment, totally, another, towards, contentious, careless, wealth, occassion, moments, awakening, nami, senseless, supernatural, beliefs, ality, guinness, insight, injustice, justine, expresso, simplistic, enlightenment, reliever, vigilance"
Cluster 28,"commuter, ferry, pedestrian, streetcar, line, depot, roadside, gateway, port, avenue, boulevard, expressway, freeway, highway, road, route, street, turnpike, viaduct, alley, homestead, ranch, farmstead, overpass, causeway, harbor, bridge, gate, cistern, metro, lighthouse, parish, cross, hub, land, porta, built, block, porte, zone, at, branch, fireside, west, easter, south, parking, side, coaster, rail, center, borde, island, western, summit, from, peninsulas, city, east, close, southampton, farm, northern, roundabout, coast, gates, place, southern, town, portsmouth, highland, railway, buildings, centre, where, miles, Road, border, eastern, regione, north, fort, peninsular, frontier, century, park, fence, village, area, tunnel, across, harbour, gated, proximity, borderlands, district, exit, crosstown, pier, Tunnel, traffic, bypass, weston, canal, mainland, located, outside, depots, railroad, metropolis, Bay, crossing, portage, seaside, borden, stree, central, Roadways"
